item_id,item_code,item_class,item_order_frequency,item_initial_quantity_inventory,mean_daily_demand,cv,box_length,box_width,box_height,box_volume,box_weight,item_weight,number_of_item_in_a_box,item_volume,item_unit,item_quantity_order_unique,item_pod_inventory_level,item_warehouse_inventory_level
646,14510111001,A,102,16,6.2857,0.662,35.0,24.0,5.0,4288.0,1.5,1.5,1,4287.5,PCS,"[1, 2, 3, 4, 6, 23]",0.4,0.3
647,11040010001,A,101,32,13.4286,0.5694,36.0,21.0,29.0,21924.0,8.6,0.717,12,1827.0,PCS,"[1, 2, 3, 4, 6]",0.4,0.3
648,14831013001,A,101,115,27.4286,1.3618,32.0,23.0,17.0,12512.0,7.45,0.155,48,260.7,PCS,"[3, 6, 9, 12, 33, 66, 84]",0.4,0.3
649,14120020001,A,101,17,6.5714,0.6678,45.0,18.0,26.0,21060.0,5.42,0.452,12,1755.0,PCS,"[1, 2, 3, 4, 7, 8]",0.4,0.3
650,14330010001,A,101,20,8.381,0.5912,55.0,37.0,23.0,46805.0,16.22,2.703,6,7800.8,PCS,"[1, 2, 3, 4, 6]",0.4,0.3
651,14023025001,A,101,30,11.619,0.6585,38.0,27.0,22.0,22572.0,0.86,0.086,10,2257.2,PCS,"[1, 2, 3, 4, 5, 6, 10, 12, 20]",0.4,0.3
652,14504028001,A,101,154,42.1429,1.1377,39.0,33.0,15.0,19305.0,3.32,0.111,30,643.5,PCS,"[5, 10, 15, 20, 25, 30, 35, 50]",0.4,0.3
653,15021035001,A,100,404,127.7143,0.9277,30.0,16.0,12.0,5760.0,5.18,0.216,24,240.0,PCS,"[6, 12, 18, 24, 30, 42, 48, 72, 96, 144]",0.4,0.3
654,14001031001,A,100,31,9.8571,0.8846,34.0,25.0,25.0,21250.0,3.22,0.322,10,2125.0,PCS,"[1, 2, 3, 4, 5, 6, 9, 10]",0.4,0.3
655,10034024001,A,100,235,83.1429,0.7833,41.0,27.0,12.0,13284.0,8.5,0.354,24,553.5,PCS,"[6, 12, 18, 24, 36, 48, 72]",0.4,0.3
656,15024004001,A,100,314,110.8571,0.7863,34.0,20.0,11.0,7480.0,6.75,0.281,24,311.7,PCS,"[6, 12, 18, 24, 30, 36, 48, 54, 72]",0.4,0.3
657,10035001001,A,100,76,24.381,0.9068,36.0,27.0,31.0,30132.0,19.2,1.6,12,2511.0,PCS,"[1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 13, 24, 30]",0.4,0.3
658,14222114001,A,99,18,7.8571,0.5237,37.0,20.0,17.0,12580.0,2.9,0.29,10,1258.0,PCS,"[1, 2, 3, 4, 5, 8, 10, 12]",0.4,0.3
659,10012899001,A,99,248,71.8095,1.0545,40.0,27.0,22.0,23760.0,11.88,0.495,24,990.0,PCS,"[4, 8, 12, 16, 20, 24, 28, 44, 48, 96]",0.4,0.3
660,14510100001,A,99,27,8.0952,0.9663,35.0,24.0,5.0,4288.0,1.5,1.5,1,4287.5,PCS,"[1, 2, 3, 5, 6]",0.4,0.3
661,14223037001,A,99,24,8.2381,0.7866,46.0,26.0,29.0,34684.0,4.99,0.416,12,2890.3,PCS,"[1, 2, 3, 4, 5, 7, 8]",0.4,0.3
662,10040079001,A,99,37,15.7143,0.5653,35.0,17.0,32.0,19040.0,10.4,5.2,2,9520.0,PCS,"[2, 4, 6]",0.4,0.3
663,10033056001,A,99,202,71.4286,0.7857,40.0,27.0,24.0,25920.0,14.55,0.606,24,1080.0,PCS,"[4, 8, 12, 16, 20, 24, 36, 40, 48, 96]",0.4,0.3
664,31500006001,A,99,35,12.0476,0.8037,49.0,33.0,18.0,29106.0,10.85,0.452,24,1212.8,PCS,"[1, 2, 3, 4, 5, 6]",0.4,0.3
665,11102002001,A,99,20,7.5714,0.6819,31.0,31.0,21.0,20181.0,16.4,0.82,20,1009.1,PCS,"[1, 2, 3, 4, 5, 6]",0.4,0.3
666,14103030001,A,99,20,7.8095,0.6674,55.0,38.0,24.0,50160.0,4.46,0.297,15,3344.0,PCS,"[1, 2, 3, 4, 5, 6]",0.4,0.3
667,14010019001,A,98,17,7.1429,0.5445,33.0,29.0,16.0,15312.0,2.46,0.41,6,2552.0,PCS,"[1, 2, 3, 4, 5, 8]",0.4,0.3
668,14121173001,A,98,16,6.5714,0.6021,45.0,26.0,19.0,22230.0,2.59,0.216,12,1852.5,PCS,"[1, 2, 3, 5, 7]",0.4,0.3
669,14000135001,A,98,113,6.7143,1.9692,38.0,20.0,23.0,17480.0,0.84,0.84,1,17480.0,PCS,"[1, 2, 3, 4]",0.4,0.3
670,14011078001,A,97,19,6.6667,0.7369,50.0,29.0,25.0,36250.0,2.3,0.192,12,3020.8,PCS,"[1, 2, 3, 4, 5]",0.4,0.3
671,14510109001,A,97,32,10.5238,0.8571,35.0,24.0,5.0,4288.0,2.8,2.8,1,4287.5,PCS,"[1, 2, 3, 4, 5, 6]",0.4,0.3
672,14615133001,A,97,72,19.619,1.131,33.0,23.0,29.0,22011.0,9.2,1.533,6,3668.5,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 17, 18, 22, 27]",0.4,0.3
673,14100001001,A,97,19,7.0952,0.6816,41.0,27.0,36.0,39852.0,6.5,0.542,12,3321.0,PCS,"[1, 2, 3, 4, 5, 8]",0.4,0.3
674,10002025001,A,97,38,12.4762,0.8691,38.0,28.0,30.0,31920.0,16.2,1.35,12,2660.0,PCS,"[1, 2, 3, 4, 5, 6, 8, 11, 12, 24]",0.4,0.3
675,14111024001,A,96,22,6.8571,0.9477,57.0,23.0,30.0,39330.0,5.96,0.596,10,3933.0,PCS,"[1, 2, 3, 4, 5, 6]",0.4,0.3
676,14111134001,A,96,36,12.5714,0.7993,44.0,39.0,17.0,29172.0,5.2,0.26,20,1458.6,PCS,"[2, 3, 4, 5, 6, 8, 10, 12]",0.4,0.3
677,10002906001,A,96,100,35.9048,0.7586,42.0,29.0,22.0,26796.0,13.2,0.55,24,1116.5,PCS,"[2, 4, 6, 8, 10, 12, 14, 16, 20, 22, 24]",0.4,0.3
678,14244896001,A,96,101,33.8095,0.8417,31.0,25.0,36.0,27900.0,3.4,0.057,60,465.0,PCS,"[5, 10, 15, 20, 25, 40]",0.4,0.3
679,10012006001,A,95,173,58.0,0.8476,28.0,16.0,9.0,4032.0,3.4,0.142,24,168.0,PCS,"[6, 12, 18, 24, 30, 48]",0.4,0.3
680,11111033001,A,95,69,9.381,1.1419,39.0,24.0,32.0,29952.0,17.19,4.298,4,7488.0,PCS,"[1, 2, 3]",0.4,0.3
681,14805017001,A,95,129,43.4286,0.8391,41.0,28.0,11.0,12628.0,8.17,0.34,24,526.2,PCS,"[6, 12, 18, 24, 30, 48]",0.4,0.3
682,14615894001,A,95,22,8.7619,0.6006,34.0,24.0,30.0,24480.0,12.07,2.012,6,4080.0,PCS,"[1, 2, 3, 4, 5, 6, 9, 12, 18, 20, 23, 24, 26]",0.4,0.3
683,10001005001,A,94,290,91.7143,0.9282,40.0,27.0,12.0,12960.0,9.11,0.38,24,540.0,PCS,"[6, 12, 18, 24, 30, 36, 42, 48]",0.4,0.3
684,12200001001,B,217,46,10.2857,0.7412,21.0,9.0,31.0,5859.0,1.0,1.0,1,5859.0,PCS,"[6, 12, 18, 24, 30, 36, 42, 48, 66, 72, 78, 84, 108, 144]",0.5,0.4
685,12200006001,B,197,47,5.1429,1.2394,21.0,9.0,31.0,5859.0,1.0,1.0,1,5859.0,PCS,"[6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 96, 108, 240]",0.5,0.4
686,12200002001,B,197,54,6.2857,1.1081,21.0,9.0,31.0,5859.0,1.0,1.0,1,5859.0,PCS,"[6, 12, 18, 24, 30, 36, 42, 48, 60, 84, 96, 108, 114, 192]",0.5,0.4
687,12201001001,B,128,317,45.7143,0.7946,19.0,10.0,8.0,1550.0,0.2,0.2,1,1550.4,PCS,"[24, 48, 72, 96, 120, 144]",0.5,0.4
688,12201123001,B,110,197,23.3333,1.0954,19.0,10.0,8.0,1534.0,1.0,1.0,1,1534.25,PCS,"[10, 20, 30, 40, 50, 60, 120]",0.5,0.4
689,10040009001,B,92,113,22.8571,0.8926,37.0,28.0,32.0,33152.0,19.27,1.606,12,2762.7,PCS,"[12, 24]",0.5,0.4
690,12202002001,B,84,22,2.4762,1.1748,31.0,21.0,22.0,14322.0,1.0,1.0,1,14322.0,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 12, 13]",0.5,0.4
691,12220015001,B,82,7,0.6667,1.4491,31.0,21.0,22.0,14322.0,1.0,1.0,1,14322.0,PCS,"[1, 2, 3, 5, 6, 7, 8, 16]",0.5,0.4
692,12201042001,B,77,264,30.8571,1.1242,20.0,10.0,8.0,1615.0,0.2,0.2,1,1615.0,PCS,"[12, 13, 24, 36, 48, 59, 60, 72, 96, 120, 144]",0.5,0.4
693,12201083001,B,68,152,26.8571,1.1027,20.0,10.0,8.0,1615.0,0.2,0.2,1,1615.0,PCS,"[12, 24, 36, 60, 72, 84, 144, 156, 168]",0.5,0.4
694,14850034001,B,54,7,1.5238,0.7658,80.0,44.0,14.0,49280.0,15.8,15.8,1,49280.0,PCS,"[1, 2, 3, 4, 5, 6]",0.5,0.4
695,10033026001,B,54,79,15.1905,0.9652,36.0,27.0,31.0,30132.0,16.0,1.333,12,2511.0,PCS,"[1, 2, 3, 4, 5, 6, 7, 12, 18, 24, 30]",0.5,0.4
696,12201030001,B,51,283,23.8095,1.7941,20.0,10.0,8.0,1615.0,0.2,0.2,1,1615.0,PCS,"[20, 40]",0.5,0.4
697,12210024001,B,48,53,6.1905,1.1105,21.0,10.0,8.0,1785.0,0.2,0.2,1,1785.0,PCS,"[5, 10, 15, 25, 35, 40, 50, 55, 100]",0.5,0.4
698,10034016001,B,46,118,24.9524,0.8235,43.0,29.0,25.0,31175.0,15.434,0.643,24,1299.0,PCS,"[4, 8, 16, 24, 32, 48]",0.5,0.4
699,12201896001,B,46,107,25.2381,0.6703,21.0,10.0,8.0,1785.0,0.2,0.2,1,1785.0,PCS,"[10, 20, 60, 80, 130, 200]",0.5,0.4
700,12201048001,B,45,144,33.1429,0.7049,20.0,10.0,8.0,1615.0,0.2,0.2,1,1615.0,PCS,"[24, 48]",0.5,0.4
701,10035003001,B,45,55,9.619,1.1252,36.0,27.0,32.0,31104.0,19.62,1.635,12,2592.0,PCS,"[1, 2, 3, 4, 6, 9, 10, 12, 14, 15, 24]",0.5,0.4
702,14001028001,B,44,19,3.3333,1.0621,35.0,27.0,34.0,32130.0,4.29,0.429,10,3213.0,PCS,"[1, 2, 3, 4, 5, 10]",0.5,0.4
703,10032001001,B,44,163,29.7143,1.0501,35.0,27.0,28.0,26460.0,16.32,1.36,12,2205.0,PCS,"[1, 12, 23, 24, 36]",0.5,0.4
704,14633039001,B,43,37,3.0476,1.1988,34.0,23.0,11.0,8602.0,6.66,0.278,24,358.4,PCS,"[1, 2, 3, 5]",0.5,0.4
705,30001907001,B,43,13,2.619,0.8747,31.0,31.0,31.0,29791.0,22.4,0.467,48,620.6,PCS,"[1, 2, 3, 4]",0.5,0.4
706,14131011001,B,43,19,3.619,0.9749,65.0,27.0,28.0,49140.0,6.404,0.32,20,2457.0,PCS,"[1, 2, 3, 4, 10]",0.5,0.4
707,10016014001,B,43,816,58.8571,1.4967,40.0,27.0,13.0,14040.0,10.09,0.42,24,585.0,PCS,"[6, 12, 18, 24, 36, 48]",0.5,0.4
708,14631018001,B,43,39,7.7143,0.9085,30.0,39.0,18.0,21060.0,16.45,0.343,48,438.8,PCS,"[3, 6, 15]",0.5,0.4
709,14506159001,B,43,11,2.3333,0.7214,46.0,30.0,15.0,20700.0,3.2,0.533,6,3450.0,PCS,"[1, 2]",0.5,0.4
710,11103098001,B,43,28,6.5238,0.6727,36.0,33.0,32.0,38016.0,11.87,1.978,6,6336.0,PCS,"[1, 2, 3, 4, 5, 6]",0.5,0.4
711,10030030001,B,43,97,16.0952,1.2063,35.0,26.0,31.0,28210.0,15.98,1.332,12,2350.8,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 24]",0.5,0.4
712,12011113001,B,43,20,4.0476,0.8681,39.0,26.0,26.0,26364.0,9.2,0.767,12,2197.0,PCS,"[1, 2, 3, 5, 7, 9]",0.5,0.4
713,14330011001,B,43,15,3.0,0.8233,56.0,38.0,23.0,48944.0,16.48,2.747,6,8157.3,PCS,"[1, 2, 3, 6]",0.5,0.4
714,10023027001,B,43,13,2.9048,0.6963,56.0,33.0,20.0,36960.0,13.58,3.395,4,9240.0,PCS,"[1, 2, 3]",0.5,0.4
715,14833013001,B,43,32,2.9048,1.0606,37.0,28.0,21.0,21756.0,4.8,0.4,12,1813.0,PCS,"[1, 2, 3, 4]",0.5,0.4
716,14010194001,B,43,25,3.9048,1.2828,35.0,32.0,25.0,28000.0,1.13,0.188,6,4666.7,PCS,"[1, 2, 3, 4, 5, 6, 8]",0.5,0.4
717,10040111001,B,43,56,4.0,2.1909,37.0,27.0,31.0,30969.0,18.6,1.55,12,2580.8,PCS,"[12, 24]",0.5,0.4
718,14132071001,B,43,20,3.8571,0.9465,40.0,31.0,23.0,28520.0,3.3,0.33,10,2852.0,PCS,"[1, 2, 3, 5, 12]",0.5,0.4
719,14833052001,B,43,45,9.7143,0.7988,31.0,23.0,9.0,6417.0,3.72,0.155,24,267.4,PCS,"[3, 6, 9, 12, 18]",0.5,0.4
720,14840022001,B,43,258,16.5714,1.7576,31.0,23.0,12.0,8556.0,5.422,0.226,24,356.5,PCS,"[3, 6, 9, 12, 15, 18, 21, 27, 36, 48]",0.5,0.4
721,14204021001,B,43,31,4.9524,1.2714,39.0,27.0,20.0,21060.0,1.96,0.098,20,1053.0,PCS,"[1, 2, 3, 4, 5, 8, 12]",0.5,0.4
722,12106001001,B,43,90,14.6667,1.2463,27.0,16.0,18.0,7776.0,2.0,0.042,48,162.0,PCS,"[2, 4, 6, 12, 16, 20, 24]",0.5,0.4
723,14220140001,B,43,20,3.381,1.17,41.0,22.0,28.0,25256.0,4.474,0.186,24,1052.3,PCS,"[1, 2, 3, 4, 6, 9]",0.5,0.4
724,14850093001,B,43,6,1.381,0.6261,80.0,44.0,14.0,49280.0,15.79,15.79,1,49280.0,PCS,"[1, 2, 3, 4, 6]",0.5,0.4
725,11103051001,B,43,39,6.5238,1.187,30.0,26.0,28.0,21840.0,10.56,1.76,6,3640.0,PCS,"[1, 2, 3, 4, 6]",0.5,0.4
726,14506887001,B,43,51,12.1429,0.6455,37.0,33.0,14.0,17094.0,3.15,0.105,30,569.8,PCS,"[5, 10]",0.5,0.4
727,14506008001,B,43,131,11.4286,1.1303,51.0,26.0,38.0,50388.0,6.36,0.132,48,1049.8,PCS,"[4, 8, 32]",0.5,0.4
728,31567052001,B,43,15,2.4762,1.1748,36.0,18.0,26.0,16848.0,6.07,0.506,12,1404.0,PCS,"[1, 10]",0.5,0.4
729,14226009001,B,42,38,3.381,1.0846,42.0,42.0,24.0,42336.0,5.88,0.196,30,1411.2,PCS,"[1, 2, 3, 4, 6, 7]",0.5,0.4
730,11103096001,B,42,35,6.4762,1.0038,36.0,33.0,32.0,38016.0,11.82,1.97,6,6336.0,PCS,"[1, 2, 3, 4, 5, 6]",0.5,0.4
731,11103095001,B,42,35,4.2857,1.0413,44.0,26.0,33.0,37752.0,11.68,2.92,4,9438.0,PCS,"[1, 2, 3, 4, 5, 6]",0.5,0.4
732,14505048001,B,42,177,33.5714,0.9881,31.0,30.0,14.0,13020.0,1.72,0.057,30,434.0,PCS,"[5, 10, 15, 20, 30, 45, 55, 60]",0.5,0.4
733,14505148001,B,42,24,2.9048,1.0207,55.0,29.0,32.0,51040.0,5.84,0.324,18,2835.6,PCS,"[1, 2]",0.5,0.4
734,14226149001,B,42,39,3.1429,1.2376,41.0,41.0,23.0,38663.0,5.99,0.2,30,1288.8,PCS,"[1, 2, 3, 4, 5]",0.5,0.4
735,12202039001,B,42,20,2.1905,1.2217,31.0,21.0,22.0,14322.0,1.0,1.0,1,14322.0,PCS,"[1, 2, 3, 4, 6, 12]",0.5,0.4
736,14204055001,B,42,14,2.8571,0.8003,39.0,27.0,20.0,21060.0,2.0,0.1,20,1053.0,PCS,"[1, 2, 3, 4]",0.5,0.4
737,14244933001,B,42,20,4.0,0.8874,41.0,29.0,19.0,22591.0,1.71,0.142,12,1882.6,PCS,"[1, 2, 3, 4, 9]",0.5,0.4
738,14224003001,B,42,22,2.5238,1.0824,46.0,26.0,23.0,27508.0,4.11,0.274,15,1833.9,PCS,"[1, 2, 3]",0.5,0.4
739,15022009001,B,42,101,21.4286,0.8238,36.0,24.0,13.0,11232.0,6.4,0.267,24,468.0,PCS,"[6, 12, 18, 24]",0.5,0.4
740,11074015001,B,42,25,4.9524,0.9175,36.0,20.0,24.0,17280.0,1.96,0.082,24,720.0,PCS,"[2, 4, 6]",0.5,0.4
741,14303934001,B,42,13,2.8095,0.7434,40.0,30.0,25.0,30000.0,5.96,0.497,12,2500.0,PCS,"[1, 2, 3, 4]",0.5,0.4
742,14501052001,B,42,148,23.8095,1.2755,39.0,33.0,14.0,18018.0,3.21,0.107,30,600.6,PCS,"[5, 10, 25, 30, 50, 60]",0.5,0.4
743,10002917001,B,42,46,7.4762,1.2437,34.0,22.0,31.0,23188.0,13.2,2.2,6,3864.7,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12]",0.5,0.4
744,14311043001,B,42,36,5.381,1.3863,27.0,18.0,12.0,5832.0,1.25,1.25,1,5832.0,PCS,"[1, 2, 3, 4, 5, 6]",0.5,0.4
745,14001019001,B,42,18,2.7619,1.32,44.0,37.0,33.0,53724.0,4.7,0.47,10,5372.4,PCS,"[1, 2, 3, 5, 10]",0.5,0.4
746,11103176001,B,42,33,2.7619,1.2003,45.0,26.0,35.0,40950.0,17.9,4.475,4,10237.5,PCS,"[1, 2, 3, 4, 5, 6]",0.5,0.4
747,11110085001,B,42,27,5.0,1.01,38.0,24.0,28.0,25536.0,12.03,2.005,6,4256.0,PCS,"[1, 2, 3, 4, 5, 6, 7]",0.5,0.4
748,14000015001,B,42,33,2.9524,1.0466,45.0,34.0,24.0,36720.0,3.46,0.692,5,7344.0,PCS,"[1, 2, 3, 4, 5, 7, 8]",0.5,0.4
749,14505059001,B,42,352,31.4286,1.6611,41.0,30.0,13.0,15990.0,2.26,0.056,40,399.8,PCS,"[5, 10, 15, 20, 30, 40, 80]",0.5,0.4
750,14510265001,B,42,15,3.1429,0.7812,35.0,24.0,5.0,4288.0,2.2,2.2,1,4287.5,PCS,"[1, 2, 3, 4, 6, 20]",0.5,0.4
751,14104016001,B,42,17,3.381,0.8847,40.0,23.0,36.0,33120.0,5.0,0.417,12,2760.0,PCS,"[1, 2, 3, 5, 7]",0.5,0.4
752,14203083001,B,42,15,2.8095,0.9592,52.0,35.0,20.0,36400.0,3.8,0.19,20,1820.0,PCS,"[1, 2, 3, 6]",0.5,0.4
753,11050076001,B,42,35,3.0476,1.1342,37.0,23.0,32.0,27232.0,11.9,2.975,4,6808.0,PCS,"[1, 2, 3, 6]",0.5,0.4
754,14613009001,B,42,22,3.8095,1.1187,35.0,27.0,29.0,27405.0,12.23,1.019,12,2283.8,PCS,"[1, 2, 3, 6, 8, 16]",0.5,0.4
755,14620114001,B,42,21,3.5238,1.1722,33.0,25.0,28.0,23100.0,14.98,1.248,12,1925.0,PCS,"[1, 2, 5, 10, 12]",0.5,0.4
756,10002942001,B,42,145,31.1429,0.8005,40.0,28.0,12.0,13440.0,8.91,0.371,24,560.0,PCS,"[6, 12, 18, 24, 36, 72]",0.5,0.4
757,15021060001,B,42,148,29.4286,0.9139,35.0,20.0,9.0,6300.0,5.3,0.221,24,262.5,PCS,"[6, 12, 18, 24, 48]",0.5,0.4
758,14331028001,B,42,17,3.2857,0.9437,49.0,32.0,24.0,37632.0,11.8,1.967,6,6272.0,PCS,"[1, 2, 4, 5, 6]",0.5,0.4
759,14630022001,B,42,23,2.8095,1.0106,32.0,23.0,25.0,18400.0,12.76,1.063,12,1533.3,PCS,"[1, 2, 3, 6]",0.5,0.4
760,14851071001,B,41,22,4.5714,0.7965,40.0,32.0,24.0,30720.0,9.78,1.63,6,5120.0,PCS,"[2, 4, 6, 8]",0.5,0.4
761,11022051001,B,41,45,6.7143,1.3925,44.0,32.0,29.0,40832.0,14.73,1.228,12,3402.7,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.5,0.4
762,30052113001,B,41,46,5.619,1.0354,35.0,29.0,15.0,15225.0,2.292,0.115,20,761.3,PCS,"[2, 3, 4, 5, 6]",0.5,0.4
763,11073902001,B,41,20,3.2857,1.2065,35.0,31.0,13.0,14105.0,3.13,0.261,12,1175.4,PCS,"[1, 2, 3, 5, 6]",0.5,0.4
764,10011021001,B,41,347,31.1429,1.0824,33.0,16.0,13.0,6864.0,5.38,0.224,24,286.0,PCS,"[6, 12, 18, 24, 30, 48]",0.5,0.4
765,14022041001,B,41,11,2.1905,0.8971,59.0,36.0,21.0,44604.0,2.25,0.375,6,7434.0,PCS,"[1, 2, 3]",0.5,0.4
766,14610011001,B,41,40,9.0952,0.7234,35.0,31.0,31.0,33635.0,18.086,3.014,6,5605.8,PCS,"[1, 3, 4, 6, 12, 18]",0.5,0.4
767,15022015001,B,41,128,25.7143,0.9011,36.0,24.0,13.0,11232.0,6.29,0.262,24,468.0,PCS,"[6, 12, 18, 24, 48]",0.5,0.4
768,14132116001,B,41,14,2.8095,0.8763,42.0,31.0,23.0,29946.0,3.4,0.34,10,2994.6,PCS,"[1, 2, 3, 5]",0.5,0.4
769,14210077001,B,41,22,4.2381,0.9317,34.0,26.0,18.0,15912.0,3.1,0.155,20,795.6,PCS,"[1, 2, 3, 4]",0.5,0.4
770,14226007001,B,41,18,3.2381,1.0604,41.0,41.0,23.0,38663.0,5.95,0.198,30,1288.8,PCS,"[1, 2, 3, 5]",0.5,0.4
771,14110019001,B,41,18,2.5714,1.509,43.0,26.0,22.0,24596.0,3.07,0.307,10,2459.6,PCS,"[1, 2, 10]",0.5,0.4
772,14311022001,B,41,35,6.6667,0.9491,49.0,29.0,38.0,53998.0,9.45,0.788,12,4499.8,PCS,"[1, 2, 4, 6, 7]",0.5,0.4
773,14811004001,B,41,37,8.0,0.7624,31.0,23.0,23.0,16399.0,11.7,0.488,24,683.3,PCS,"[3, 6, 9, 12]",0.5,0.4
774,11050040002,B,41,15,2.8095,0.9852,45.0,24.0,30.0,32400.0,11.5,1.917,6,5400.0,PCS,"[1, 2, 3, 4, 6]",0.5,0.4
775,14511011001,B,41,21,3.8095,0.9948,35.0,24.0,5.0,4288.0,2.5,2.5,1,4287.5,PCS,"[1, 2, 3, 4, 5, 6]",0.5,0.4
776,14804014001,B,41,16,2.7143,1.1123,44.0,28.0,25.0,30800.0,20.4,5.1,4,7700.0,PCS,"[1, 2, 3, 4]",0.5,0.4
777,14330019001,B,40,51,3.8571,1.3872,56.0,38.0,23.0,48944.0,15.58,2.597,6,8157.3,PCS,"[1, 2, 3, 4]",0.5,0.4
778,14311027001,B,40,22,2.7619,0.9641,58.0,31.0,33.0,59334.0,14.76,1.845,8,7416.8,PCS,"[1, 2, 3, 10]",0.5,0.4
779,14121112001,B,40,18,3.619,0.8311,37.0,24.0,23.0,20424.0,3.84,0.32,12,1702.0,PCS,"[1, 2, 3, 4, 5, 6, 10]",0.5,0.4
780,14200047001,B,40,16,2.8571,1.0747,40.0,27.0,13.0,14040.0,3.77,0.377,10,1404.0,PCS,"[1, 2, 3, 4, 7]",0.5,0.4
781,14822112001,B,40,30,4.1429,1.5648,36.0,27.0,28.0,27216.0,15.99,0.333,48,567.0,PCS,"[1, 2, 3, 4, 5, 10, 11, 12]",0.5,0.4
782,14203032001,B,40,33,2.619,1.2805,41.0,29.0,27.0,32103.0,2.6,0.217,12,2675.3,PCS,"[1, 2, 3]",0.5,0.4
783,14002003001,B,40,33,2.7619,1.1894,55.0,29.0,25.0,39875.0,3.52,0.293,12,3322.9,PCS,"[1, 2, 3, 6]",0.5,0.4
784,14010289001,B,40,12,2.7143,0.71,48.0,32.0,39.0,59904.0,3.63,0.302,12,4992.0,PCS,"[1, 2, 3, 5]",0.5,0.4
785,14510148001,B,40,14,2.6667,0.8821,35.0,24.0,5.0,4288.0,2.2,2.2,1,4287.5,PCS,"[1, 2, 3, 5, 6]",0.5,0.4
786,14805056001,B,40,93,18.0,0.9487,41.0,28.0,13.0,14924.0,9.85,0.41,24,621.8,PCS,"[6, 12, 18, 24]",0.5,0.4
787,10034007001,B,40,65,12.381,0.9794,42.0,27.0,22.0,24948.0,14.5,0.604,24,1039.5,PCS,"[4, 8, 12, 20]",0.5,0.4
788,14615038001,B,40,23,2.8095,0.998,41.0,29.0,33.0,39237.0,20.55,3.425,6,6539.5,PCS,"[1, 2, 3]",0.5,0.4
789,15023004001,B,40,599,54.8571,1.0493,36.0,20.0,11.0,7920.0,6.51,0.271,24,330.0,PCS,"[6, 12, 18, 24, 48, 72]",0.5,0.4
790,14311058001,B,40,27,3.7619,0.8444,27.0,18.0,13.0,6318.0,1.31,1.31,1,6318.0,PCS,"[1, 2, 3, 4, 5, 6, 10]",0.5,0.4
791,14111004001,B,40,23,3.8095,1.2161,41.0,21.0,15.0,12915.0,3.59,0.299,12,1076.3,PCS,"[1, 2, 3, 4, 5, 6, 8]",0.5,0.4
792,14243040001,B,40,25,3.8571,1.3278,31.0,22.0,12.0,8184.0,1.2,0.1,12,682.0,PCS,"[1, 2, 3, 4, 5, 6, 11]",0.5,0.4
793,10040016001,B,40,398,51.4286,0.9571,38.0,31.0,25.0,29450.0,15.14,0.757,20,1472.5,PCS,"[20, 40]",0.5,0.4
794,14244050001,B,40,11,2.4762,0.7181,30.0,19.0,15.0,8550.0,2.81,0.468,6,1425.0,PCS,"[1, 2, 3, 4]",0.5,0.4
795,10020043001,B,40,219,19.2857,1.1148,40.0,20.0,14.0,11200.0,10.06,0.419,24,466.7,PCS,"[3, 6, 9, 12, 15, 24, 48]",0.5,0.4
796,14203062001,B,40,11,2.4286,0.7431,39.0,24.0,22.0,20592.0,2.54,0.127,20,1029.6,PCS,"[1, 2, 4]",0.5,0.4
797,14833020001,B,40,90,12.7143,1.5253,31.0,24.0,11.0,8184.0,5.21,0.217,24,341.0,PCS,"[3, 6, 9, 12, 24]",0.5,0.4
798,14204126001,B,39,20,2.8571,1.5025,49.0,32.0,28.0,43904.0,2.55,0.128,20,2195.2,PCS,"[1, 2, 4, 7]",0.5,0.4
799,14213004001,B,39,14,2.5238,1.015,49.0,27.0,32.0,42336.0,6.77,0.282,24,1764.0,PCS,"[1, 2, 4]",0.5,0.4
800,10020036001,B,39,142,25.1429,1.1001,41.0,27.0,24.0,26568.0,16.17,0.674,24,1107.0,PCS,"[4, 8, 12, 16, 24, 44, 48, 72]",0.5,0.4
801,14131026001,B,39,12,2.381,0.8238,47.0,29.0,32.0,43616.0,4.9,0.408,12,3634.7,PCS,"[1, 2, 3, 5]",0.5,0.4
802,14242009001,B,39,26,3.1429,1.0176,29.0,26.0,14.0,10556.0,3.0,0.3,10,1055.6,PCS,"[1, 2, 3, 5, 6]",0.5,0.4
803,12120063001,B,39,72,9.1429,0.9699,8.0,14.0,14.0,1458.0,0.2,0.2,1,1458.0,PCS,"[2, 4, 6, 8]",0.5,0.4
804,14121061001,B,39,12,2.381,0.9055,39.0,36.0,27.0,37908.0,2.91,0.291,10,3790.8,PCS,"[1, 2, 3]",0.5,0.4
805,11051013001,B,39,10,2.1905,0.7016,48.0,26.0,19.0,23712.0,8.77,0.731,12,1976.0,PCS,"[1, 2, 5]",0.5,0.4
